요구사항 ID	분류	기능명	기능상세

HST-001	히스토리	히스토리 조회	저장된 모든 히스토리 목록을 조회하는 기능
		히스토리 권한별 조회	사용자 권한에 따라 조회 가능한 히스토리만 표시(리드 히스토리)
		히스토리 최신순 정렬	최신 발생순(내림차순)을 기본 정렬로 제공
		히스토리 최초접속 갱신	페이지 최초 접속 시 기본 히스토리 목록 자동 조회
		히스토리 자동 갱신	실시간(SSE)으로 새 히스토리 발생 시 목록 자동 갱신
HST-002	히스토리	탐지 히스토리 조회	AI가 탐지한 이벤트 발생 이력을 저장 및 조회
		탐지된 히스토리 정보 표시 	탐지 대상 ID, 탐지 시간, 발생 위치 정보를 표시
		탐지 히스토리 이미지 제공	상세 조회 시 탐지 당시의 캡처 이미지를 함께 출력
		탐지 히스토리 상태 관리	탐지 결과를 읽음/미확인 상태로 관리
HST-003	히스토리	탐지 히스토리 개별 선택	특정한 탐지 히스토리를 선택할 수 있음
		탐지 히스토리 일괄 선택	일괄로 탐지 히스토리를 선택할 수 있음
		탐지 히스토리 읽음 처리	읽지않음 상태의 탐지 히스토리를 읽음 상태로 변경
		리드 히스토리 추가	읽음 처리된 히스토리를 리드 히스토리에 저장
HST-004	히스토리	히스토리 목록 	히스토리를 표(Table) 형태로 출력
		히스토리 항목별 표시	표시 항목은 이벤트 ID, 탐지 시간, 대상 ID, 위치, 읽음 여부를 포함
		히스토리 페이지네이션	페이지네이션을 제공하여 일정 개수씩 조회
		히스토리 표시 개수 설정	한 페이지당 표시 개수를 사용자가 선택 가능
		히스토리 내보내기	히스토리 데이터를 Excel(.xlsx) 및 JSON 형식으로 내보내기
HST-005	히스토리	히스토리 이벤트ID 검색	이벤트 ID를 이용한 검색 기능 제공
		히스토리 대상ID 검색	대상 ID를 이용한 검색 기능 제공
		히스토리 검색어 검색	검색어 입력 시 일치하는 히스토리만 조회
		히스토리 검색 결과 없음 안내	검색 결과가 없을 경우 안내 메시지 출력
HST-006	히스토리	히스토리 상태 필터링	읽음/미확인 상태별 필터 제공
		히스토리 탐지 대상 필터링	탐지 대상별 필터 제공
		히스토리 발생시각 필터링	발생 기간(시작일~종료일) 기준 필터 제공
		히스토리 정렬 옵션	최신순, 오래된순 등 정렬 옵션 제공
		히스토리 검색, 필터링 적용	필터와 검색 기능을 동시에 적용 가능
		히스토리 검색, 필터링 상태 유지	필터 적용 후에도 페이지네이션 상태 유지
